taxonomy	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces_cerevisiae|t__EUK4932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00495	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB14246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01019	0.03646	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103	0.00959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB14246|o__OFGB14246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01019	0.03646	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103	0.00959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB14246|o__OFGB14246|f__FGB14246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01019	0.03646	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047|f__FGB3047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103	0.00959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10316	0	0	0	0	0	0.00667	0.01153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00182	0.00029	0.07202	0.38179	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00374	0	0	0	0	0	0	0.01108	0	0	0	0	0	0	0	0	0.05584	0	0	0	0.00219	0	0	0.42861	0	0	0.37854	0	0	0	0	0	0	0	0	0	0.03543	0	0	0.01212	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB3463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05475	0	0	0	0.40904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04948	0	0.03734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02848	0.11492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17301	0.1201	0.17089	0.52862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01828	0.1107	0.09863	0	0	0	0	0	0.17361	0	0	0	0	0	0	0	0	0	0.08708	0.03148	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB14246|o__OFGB14246|f__FGB14246|g__GGB38987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01019	0.03646	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB45432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05087	0	0	0	0	0	0.03569	0.00637	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04967	0	0	0	0	0	0	0	0.04274	0	0	0	0	0.02237	0.01259	0.00225	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047|f__FGB3047|g__GGB9557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103	0.00959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11688	2.18261	0	0.00971	0.01591	0	0	0	0	0	0	0	0	0	0	0.21076	0.00515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91593	0.10202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29235	0	0	0	0	0.22185	1.64322	0	0	0	0.11027	0	0	0	0	0	0	0.01706	4.76333	0.8803	0	0	0	0	0	0	0	0	0	0	0.31284	0.09117	0	0.0179	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57866	0.00194	0.02605	0	0	0	0	0	0	1.18978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57116	0	0	0	0	0	0.71283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.82461	3.28832	1.67316	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49479	0.27521	1.53128	0	0	0	0	0	0.02324	0	0	0.00854	0	0	0	0	0	0	0	0	0	0.00023	0	0	0	0	0	0.00042	0.04609	0.27721	0	0.00534	0	0.13814	0.0705	0.08258	0	0	0.26439	0.11006	0.35471	0.24172	0	0.2235	0.30392	0.84726	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00341	0	0	0	0	0	0	0.03019	0.00744	0	0.05784	0.75708	0	0	0	0	0.01813	0	0	0	0	0	0	0	0	0	0.21769	0.02083	0.08654	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pullorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31614	0.15593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0144	0	0	0	0	0	0	0	5.80029	0	0	0.02289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00608	0	0.04959	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_cateniformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10316	0	0	0	0	0	0.00667	0.01153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00182	0.00029	0.07202	0.38179	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00374	0	0	0	0	0	0	0.01108	0	0	0	0	0	0	0	0	0.05584	0	0	0	0.00219	0	0	0.42861	0	0	0.37854	0	0	0	0	0	0	0	0	0	0.03543	0	0	0.01212	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF27_2AA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06517	0.00868	0	0	0	0	0	0	0	0	0	0.51435	0	0	0	0	0	0.51869	0.07385	0	0	0.00447	0	0	0	0	0	0.0078	0.06744	0	0	0	0	0	0	0	0.14853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00214	0.00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB3463|s__GGB3463_SGB4621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05475	0	0	0	0.40904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04948	0	0.03734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_SGB14778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02848	0.11492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17301	0.1201	0.17089	0.52862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catenibacillus|s__Catenibacillus_scindens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_sp_NSJ_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00738	0	0	0	0	0	0	0	0.05341	0	0	0.09731	0	0	0	0	0	0.03231	0	0	0	0.65102	0	0	0	0	0	0	0	0.03471	0	0	0	0	0	0	0	0	0	0	0.00138	0.02212	0	0	0.05147	0	0	0	0	0.03026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB14246|o__OFGB14246|f__FGB14246|g__GGB38987|s__GGB38987_SGB53576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01019	0.03646	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB45432|s__GGB45432_SGB63101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05087	0	0	0	0	0	0.03569	0.00637	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04967	0	0	0	0	0	0	0	0.04274	0	0	0	0	0.02237	0.01259	0.00225	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047|f__FGB3047|g__GGB9557|s__GGB9557_SGB14966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103	0.00959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_argi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013	0	0	0	0	0	0	0	0	0.01101	7.32087	0	0	0	0	0	0	0	0	0	0	0	0.59119	0	0	0	0	0	0	0	0	0.00044	0	0	0.14834	0	0	0	0	0.0088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00593	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified|s__Clostridiales_bacterium_SIT11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei|t__SGB14737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11688	2.18261	0	0.00971	0.01591	0	0	0	0	0	0	0	0	0	0	0.21076	0.00515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91593	0.10202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29235	0	0	0	0	0.22185	1.64322	0	0	0	0.11027	0	0	0	0	0	0	0.01706	4.76333	0.8803	0	0	0	0	0	0	0	0	0	0	0.31284	0.09117	0	0.0179	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__SGB2318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57866	0.00194	0.02605	0	0	0	0	0	0	1.18978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.57116	0	0	0	0	0	0.71283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.82461	3.28832	1.67316	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB14911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49479	0.27521	1.53128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00534	0	0.13814	0	0	0	0	0.26425	0	0	0	0	0.2235	0.30392	0.84726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00364	0.02586	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pullorum|t__SGB17264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31614	0.15593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0144	0	0	0	0	0	0	0	5.80029	0	0	0.02289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00608	0	0.04959	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium|t__SGB4668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24286	0	0	0	0.0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1021	0.07459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01103	0.00567	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_cateniformis|t__SGB6771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10316	0	0	0	0	0	0.00667	0.01153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00182	0.00029	0.07202	0.38179	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00374	0	0	0	0	0	0	0.01108	0	0	0	0	0	0	0	0	0.05584	0	0	0	0.00219	0	0	0.42861	0	0	0.37854	0	0	0	0	0	0	0	0	0	0.03543	0	0	0.01212	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF27_2AA|t__SGB4712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06517	0.00868	0	0	0	0	0	0	0	0	0	0.51435	0	0	0	0	0	0.51869	0.07385	0	0	0.00447	0	0	0	0	0	0.0078	0.06744	0	0	0	0	0	0	0	0.14853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00214	0.00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium|t__SGB4744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05663	0.00649	0	0	0.00622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03904	0	0	0	0	0	0	0	0.00323	0.00153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13798	0	0.12211	0.0813	0	0.04696	0.02891	0	0	0	0.00127	0	0	0	0	0	0	0	0	0	0.00346	0	0.00496	0.02351	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB3463|s__GGB3463_SGB4621|t__SGB4621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05475	0	0	0	0.40904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04948	0	0.03734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__SGB15317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03166	0.6097	1.45003	0	0.02525	0	0	0	0	0	0	0	0	0	0	0.03842	0	0	0	0	0	3.2639	0.01254	0	0	0	0	0	0	0	0	0	0	0	0	0.08294	0.09483	0	0	0	0.12559	0.33525	0	0	0	0	0	0	0.13961	1.47709	0	0	0	0	0	0	0	0.05231	0.16962	0.92433	0	0	0	0	0	2.19366	0	0	0	0.47384	0.95538	0	0	0	0	0	0	0	0	0.13214	0	0	0	0.68522	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_SGB14778|t__SGB14778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02848	0.11492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17301	0.1201	0.17089	0.52862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Catenibacillus|s__Catenibacillus_scindens|t__SGB59869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
