Gene Family	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
K08989	2.98859	1.00106	0.373958	0	0	9.45402	11.1	6.1217	0.0265424	3.61588	0	10.9017	0	2.62571	25.3827	0.148183	0	0	0.34776	4.52203	1.42219	11.9982	0.885536	0	0	0	0	2.7713	0	0.0693557	0	3.85403	25.773	1.22612	1.5654	3.40604	0.461948	10.7323	26.8134	1.09739	2.82521	2.57083	6.29271	1.8976	0.239088	0	0	0	0	0	0	0	8.57071	8.60732	3.90525	2.9284	2.03107	0.475997	0	2.69874	0.124905	2.94165	0	17.7702	5.61768	1.41831	1.63434	0	20.5472	0.715831	1.39338	0	0.297064	0.773657	3.8835	0	0.0747061	6.01488	4.48336	1.095	0.216815	4.22254	0	0.20308	3.89588	14.677	0.938395	3.54559	0.686023	3.90372	0	0.362618	1.91455	17.3628	0	0.309946	0	0	0.355482	0.947798	0.392621	0.992047	0	0	12.1537	6.47501	0	14.9452	9.22284	2.82123	9.47963	9.17876	1.57619	3.1812
K08990	5.04786	0.874567	0.697057	0	0	13.2297	0	0.208452	0	2.17104	0	0	0	0.948224	9.82894	0	0.0748014	0.101212	0.304575	0	0.457007	0.543333	0.568122	0	0.0353681	0	0.741971	0	0.0417396	0	0.133168	0.0593116	0	0.82553	1.20957	0	0.749025	0.0354079	1.7696	0.888529	4.15981	1.09584	2.5287	0.475439	0	0.1375	1.22451	0	0.107353	0.0536071	0	0	1.69054	0.28537	0.603923	3.27784	0	0.728644	0	4.5079	0.972027	1.8667	0	7.35499	2.51312	0.250408	1.10378	0.360099	0	0.585148	0.266317	0	0.460009	0.878287	0	0	0.519293	1.12108	0	0	0	0.482841	0	14.6729	0.097607	0.13805	0.8351	0.160059	0.274258	5.73692	0.0698964	0.539574	0	1.57302	0	0	0	0	0	0	0	0.912455	0.267608	0	2.9148	0	0	0.984288	0	16.6379	0.394808	0	0	0
K08991	0	0	0	0	0.615046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.584568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08992	7.76913	1.33214	1.28334	0	0	14.292	0	1.33816	0	3.43424	0	0	0	1.98113	29.684	0	0	0	0	0	0.585515	2.43879	0.318447	0	0	0	0.853023	0	0	0	0	0.480812	0	1.49499	3.5613	0	1.32139	0	1.52784	0.784079	4.40586	1.0643	6.3753	0.545693	0	0.392306	1.86075	0	0.29363	0.316438	0	0	2.74379	0.447254	1.0313	12.6181	0	0.84192	0	2.74509	1.73032	4.13521	0	6.15064	2.34086	2.65024	3.51005	1.36988	0	0.768673	0.643522	0	0.649794	0	0	0	0.271807	1.08905	0	0	0	3.64219	0	0	0	0	0.916401	2.06154	0.60212	5.05212	0	1.41903	0	1.12523	0	0	0.293957	0	0	0	0	1.26804	0	0	3.38146	0	0	0.638704	0	0	0.551591	0	0	0
K08993	6.50598	1.41269	0.744826	0	0.143338	7.76201	0	1.57286	1.37502	7.68854	0	0	0.379506	0.829642	43.5428	0	0.375019	0.424753	0.376325	0	0.603839	2.36932	0.421087	0	0	0	0.565718	0.207968	0	0	0	0.476838	0	1.01061	2.98474	0	1.47346	0.125862	3.61379	1.82491	7.17987	2.35132	15.539	0	0	0	0.567808	0	0.776543	0	0	0.76569	1.08618	0.434498	1.17507	7.98646	0	2.67188	0	0	2.17299	3.71504	0	10.5117	2.07185	1.03095	6.82225	0.226426	0	0.607173	0.130143	0	0.165285	0	0	0	1.02828	0	0	0	0.227366	1.54944	0	0.209794	0	0	4.83378	3.60978	1.27391	11.5719	0.271518	1.88027	0	0	0	0	0	0	0	0	0	2.22224	0.385127	0	14.4004	0	0	0	0	0	3.11299	0	0	0
K08994	0.439943	0.544925	0.103762	0	0	2.90002	0	0.262088	0.0508923	1.63228	0	0	0	0.111869	10.329	0	0.0344716	0	0.424106	0	0.0423684	0.807368	1.00524	0	0	0	0	0.0578504	0	0	0	0.0487152	0	0.704768	1.40048	0.0147725	0.311738	0	0.293711	0.3802	2.60246	0.527307	4.10122	0.303954	0	0.0317963	0.069553	0	0.0417264	0	0	0.0500304	3.82805	0.0845221	3.62943	5.29205	0	0.0592655	0	1.07701	0.102687	0.594148	0	0.643944	0.147994	0.521129	1.94077	0.633477	0	0.344966	0	0	0.0563738	0	0	0	0.04621	0.0894528	0	0	0	0.754509	0	0.0682081	0.0380489	0.318513	0.600873	0.332804	0.402461	0.183503	0.0422424	0.394563	0	1.95108	0	0	0	0	0	0	0	0.835048	0	0	2.00323	0	0.150923	0	0	0	0.466123	0	0	0
K08996	7.44096	1.67596	0.987449	0	0	10.4633	14.3244	0	0.678365	1.86654	0	0	0	1.41021	32.8705	0	0.234386	0.279424	0.365934	0.772744	0.348763	2.6502	1.19794	0	0	0	0.293785	0.0535804	0	0	0	0.0681801	0.104079	0.577305	4.43947	0	0.965365	0	2.88186	0.794273	3.75939	1.98881	0.625195	0.163468	0	0	1.22863	0.314047	0	0	0	0.441489	2.56106	0	3.35536	12.8297	0	0	8.45182	13.4914	1.37455	1.98749	0	0.183956	2.99733	2.46244	3.22671	0	32.2792	0.420724	0.506673	0	0.47209	0.313226	0	0	0.668963	0.315401	0	5.19613	0	4.80093	0	0.257442	0.137695	0.383443	0	2.76645	0.334058	6.11942	0.563412	1.3737	0	0.193173	0.281901	0	0.262124	0	0	0	0	9.98876	0.0971856	0	1.40374	0.138915	0.636152	0.326703	229.87	4.81617	1.3303	0	0	0
K08997	2.30777	0.35128	0.668904	0	0	6.74245	0	0.664725	0.192876	1.77226	0	0	0	0.18359	11.4565	0	0.0720929	0	0.168415	0	0.254664	0.503744	0.568957	0	0	0	0	0	0	0	0	0	0	0.73695	0.803993	0	0.415383	0	1.59093	0.87054	2.69961	0.795896	3.03896	0.470443	0	0	0.620195	0	0.236937	0	0	0.445172	1.16276	0	0	4.85565	0	0.58506	0	6.68233	0.524472	0.91331	0	2.82316	0.350599	1.1188	1.62424	0.850137	0	0.988885	0.291168	0	0.386388	0.768898	0	0	0.23973	1.04195	0	0	0	2.0196	0	11.921	0	0	0.788435	0.845432	0.566974	3.93495	0	0.758112	0	0.852274	0	0	0.165566	0	0	0	0	0.667381	0	0	2.68139	0	0	0	0	20.6571	0.596694	0	0	0
K08998	125.859	103.009	103.736	15.3758	148.692	131.795	76.819	98.1153	1.53264	5.30353	115.307	29.0389	149.835	236.992	25.771	68.4017	109.878	68.9797	94.8919	107.394	74.5299	35.7948	65.2522	70.311	83.6912	54.9576	99.5021	36.2957	20.3226	6.45937	140.241	22.9675	36.3003	49.9746	78.7742	15.6645	37.2252	18.9714	61.1652	21.4232	44.1025	30.4642	48.0047	6.14833	30.0966	33.6191	65.2897	39.7291	49.4848	88.6266	114.167	11.4687	162.83	227.254	67.3521	81.2301	49.8757	109.139	138.029	91.0786	114.982	119.817	2.9272	38.2845	148.693	101.008	44.44	63.3159	72.2509	17.2879	28.0295	34.1591	62.8898	59.6042	31.2746	132.836	35.808	127.098	77.191	108.101	48.9798	87.4236	81.9434	35.5208	45.4229	38.3415	72.0169	129.889	90.7253	69.4167	105.315	30.3736	90.4922	70.9759	145.071	109.702	111.699	68.6738	120.869	107.607	88.9093	66.7296	77.8206	89.4496	70.729	92.8573	69.0746	8.62593	372.295	11.7912	4.47822	113.081	69.9213	82.7744
K08999	0	0	0	0	0.665326	0	0.269372	8.18501	0	0	0	0	2.4836	3.20968	0	0	14.3651	29.7442	23.5232	0	0.13721	2.20622	28.7176	10.5848	9.40517	0	0	0	25.6491	16.5247	28.8671	0.171146	7.14462	8.38183	3.19002	3.52719	11.7829	2.70637	0	56.5031	26.8019	3.92505	8.09916	11.754	15.2593	0	0	0.435429	0.330851	0	0	30.0027	1.64243	1.53173	10.2426	1.58719	7.37198	3.16149	0	64.4425	25.5353	8.29164	0	0	34.6099	3.73511	39.4282	25.4309	0	12.4361	1.37308	13.2172	3.15602	0.342637	0	0	16.6907	0	12.4956	0	0	2.16104	0	11.2206	13.8245	8.27379	4.4073	0	14.3066	5.89846	0	9.341	14.4098	0	37.0567	7.75944	1.05216	0	0	0	0	11.1036	4.44302	2.91723	8.13867	0.406867	0	0	0	0	0	0.222511	0	0
K09001	12.2048	1.65305	2.34866	1.33326	0	9.48928	2.82117	1.34858	0.581174	2.40972	0.687404	0	0	2.69391	17.3027	0	0.0545721	0.396295	0	0.28085	1.51125	5.24165	1.00515	0	0	0	0.636107	0.362825	0	0	0	0.160042	2.2185	1.30901	1.40385	0	1.17078	0.60477	5.24426	1.1398	1.05342	1.28509	0.935444	0	0	0	1.18827	0	1.69385	0	0	0.240844	5.37376	1.02154	4.05461	1.73991	1.07347	0.396043	0	8.34712	3.10602	3.3795	0	3.29853	2.16854	1.54592	0.548492	0	0.257687	1.19332	0.866963	0	0.348351	1.06558	0	1.08624	0.256437	1.05268	0	0.233939	0	1.69794	2.12983	10.9134	1.08424	0.510315	0.242844	1.41563	0.521232	4.18147	0.61804	0.56934	0	4.61261	0	0	0.51589	0.422788	0.472307	0	0	0.712419	0.071353	0	0.0939011	0.320703	0	0.101887	0.326087	21.2463	1.03116	0	0	0.33089
K09002	0	0	0	0	0	0	0	0.589455	0	0	0	0	0	0	0	0	0	0	0.158011	2.46139	0	6.52233	0	0	10.3613	0	0	1.61101	0	0	0.602354	0	0	23.2438	10.2862	0	0	1.12122	0	0	0	0.488739	0.125364	0.396353	0	0.244237	0	0	0	0	0	0	0	18.1761	1.72746	0	0	0	0	0	0.291602	0	0	0	0	0.290953	0	0	0	0	0	0	0	0	0	0	0	0	1.97406	0.601455	0	0.781606	0	0	0	0.697826	0.912505	0.439878	0	0	0	0	6.41236	0	1.13384	0	0	0	0	0	0	0	0	0	0	3.26363	0	0	0	0	0	0	0	0
K09004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182784	0	0	0	0	0	0	13.3734	0	0	0	0	0	0	0	0	0	0	0	1.0263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0804667	0	0	7.50893	0.0928244	0	0	0	0	0.436397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.06557	1.1751	7.21635	0	0.11724	0.386301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51344	0	0	0	0	0	0	0	0	0	0	0	0.155112	0	0	0	0	0	0	0	0	0	0	0	0
K09007	0	0	0	1.77869	0	2.77677	0	0	0	0	0	152.447	0.710456	0.402442	0	0	0	0.79425	0	0	3.40265	0	0	0	0	0	0	0	0	0	0	1.18027	0	0	0	0	0	0	2.62947	17.444	6.84797	0.296308	0.0997482	3.6552	0.428863	0	0	0	0	0	1.38754	4.08414	0	0	0	0.702018	1.06113	0.25023	0	0.29639	12.8649	1.1017	0	0	0	0	5.85594	9.4318	0	5.67887	11.5217	9.72498	12.3212	9.2302	19.9645	34.5267	7.22301	4.14222	19.0566	0.218519	118.459	0	0.657818	0	0	0	3.92788	0	0	0	0	0	0	0	0.51646	1.3034	1.60999	2.44299	1.23264	6.32443	1.60086	16.3317	7.66543	7.9585	0	0	0	0	0	0	0	0.289361	0	0
K09009	0	0	0.258729	0.217678	1.50837	0.0637532	0.139163	0.682953	3.43946	160.948	0	0	2.58125	0	0	0	2.9669	7.05623	40.478	0	17.5598	9.65999	13.8881	16.3043	24.1779	0	0	0	3.54886	18.6597	44.9952	0.597483	17.04	15.4114	80.4538	1.78672	13.0072	0.145475	0.859688	2.92767	1.4926	17.4155	3.74771	0	0	2.92714	0	38.1924	62.6266	50.7983	0	8.26357	2.2262	0	1.15447	0.452883	4.72971	0.514556	24.005	0.226294	0	1.35801	0	127.203	13.4373	3.4077	32.2359	17.2719	0	13.9016	0.188365	1.68573	5.11437	0.814235	7.20777	0	1.25687	4.92201	4.65254	0.684449	0	0.737495	3.01567	10.7725	0.497337	3.04297	0.141325	0	0	4.62951	7.80553	8.48275	0	0	0.214018	0	0	0.298379	0	4.90574	1.93721	22.1388	1.65067	1.59618	12.6019	0	77.4903	0	0	0	0.566503	0	0	0
K09011	1.26408	0	0	0	0	0	0	1.47056	0	0	0	0	0.182032	0	0	0	0	0	0	0	1.79861	0	0	0	0	0	0	0	0	0	0.796487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52602	0	0	0	0.478758	0	0	0	0	0	3.67551	1.67034	2.52306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55984	10.5057	7.88061	0	0	0	0	0	0	0	0.487367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.995468	0.510445	0.489083	0	0	0	0	0	0	0	0	0	0
K09013	17.6766	6.88119	4.68019	3.72343	1.6434	21.5877	1.7033	31.7928	6.95818	169.833	5.99287	6.54334	2.36117	132.577	13.0916	0	81.6185	163.277	79.5127	9.63395	25.9547	25.1225	34.1399	37.3697	42.4537	50.3096	13.8384	10.5149	48.9789	191.841	134.914	1.8692	24.336	56.1022	120.239	11.6776	50.8961	6.92499	4.98698	97.5308	56.6702	53.7198	11.2607	7.75844	24.2542	32.3365	44.6787	63.5549	165.136	106.599	36.5197	50.5026	45.8986	19.1002	10.1333	6.23947	43.4511	20.1044	62.2559	33.3004	23.7689	9.08142	0.605984	137.77	44.9767	18.0371	39.3106	22.1467	0.166673	42.4604	4.07013	21.5477	20.3393	17.2661	33.4379	9.15518	37.953	43.0775	32.0761	43.832	23.0964	8.97562	7.70435	27.6945	73.0511	48.5831	22.5773	31.2131	48.5739	30.024	47.9151	33.8712	42.0677	11.8101	63.8835	79.0737	60.1121	12.6325	1.51533	56.9354	57.2802	47.6157	11.2655	8.09021	18.9158	24.6348	96.5487	4.39671	3.56149	3.9221	19.9986	110.38	42.0273	50.0527
K09014	47.5054	77.0149	70.9978	0	2.03536	33.9318	62.832	45.8913	1.63514	4.73493	44.0102	22.1811	6.11506	17.2561	18.8938	58.6107	41.3124	27.0571	24.5329	57.38	49.8133	32.4334	42.595	68.5881	54.407	1.74232	38.6041	31.4272	28.0348	12.6721	34.6887	15.5656	5.19609	7.56044	32.6798	4.19115	10.5314	9.59596	27.1964	35.6732	43.5803	7.22188	27.7617	12.6531	31.3018	7.01368	2.10364	2.63467	1.37902	12.2883	27.5627	34.2852	19.4509	133.865	81.3706	58.5742	40.3029	68.3439	35.1501	58.156	39.7519	67.9828	0	0.404084	57.3614	60.7443	79.6201	63.3082	63.3212	22.2383	25.7923	39.0377	26.2888	23.5971	17.8632	66.4307	15.6447	73.4271	63.3219	32.4938	20.9269	60.0177	40.9317	36.7663	12.1631	31.8044	45.6402	51.5897	43.5566	38.3192	71.7859	26.6206	75.1322	31.6896	50.5003	25.3016	33.9683	23.9926	50.6855	26.7029	22.1545	43.2587	61.5864	52.5651	38.9282	50.7056	19.3719	1.20644	36.2031	25.4954	1.60892	19.3363	0.331523	61.5866
K09015	6.98701	1.13712	2.31718	0	0.394009	9.11013	0	1.05892	1.92648	147.773	0	0	1.87252	1.86442	14.0089	0	14.024	86.3335	33.2512	0	16.637	9.69656	13.2589	15.6738	21.5013	0	0.343837	0.558274	35.5863	139.247	40.8077	1.64922	21.1269	17.3866	74.9126	1.53232	15.3376	1.73923	4.28496	73.4076	43.5581	33.0861	5.43236	2.91092	16.4611	4.34295	1.38494	33.4629	51.3025	41.7162	0	10.6074	4.08849	0.356387	4.21507	11.3088	10.3368	5.91061	24.7502	22.3907	9.06506	4.48318	0	111.368	18.4599	4.7399	31.8909	18.6129	0	13.2139	0.713241	2.15026	13.0031	8.58021	12.9104	0	1.42938	4.98038	5.64875	0.576635	0	2.81098	9.87024	11.777	27.6085	7.31868	9.26699	0.929805	15.7106	11.7616	33.3994	20.7952	11.93	1.59553	14.0125	3.05071	1.70433	0.510492	0	14.2171	8.90174	30.1688	5.10213	5.60245	13.3464	0	73.3201	0	202.228	4.55404	1.39468	0	0	0
K09016	1.85242	0.0651358	0.0612243	0	0	2.87568	0	0.335763	0.143521	0.685487	0	0	0.0192065	0.0740664	6.85738	0	0	0.0419351	0.331489	0	0	0.595837	0	0	0	0	0	0.104797	0	0	0	0.0306526	0	0.0457937	2.34455	0	0.317588	0	0.725331	0.2409	1.5519	0.0757952	0.631936	0.0797793	0	0	0	0	0.0598019	0	0	0.0351728	0.46187	0	0.0700802	2.5305	0	0.0368104	0	0.520096	0.685993	0.987697	0	7.5917	0.123556	0.949163	1.67885	0.0483687	0	0	0	0	0	0	0	0	0.0190747	0.0459766	0	0	0	1.63672	0	0.0406064	0	0	0.794719	0.994071	0.519481	5.8184	0	0.740437	0	0.347082	0	0	0.037144	0	0	0	0	0.412157	0.221325	0	1.12999	0	0	0	0	0	0.732418	0	0	0
K09017	1.4453	0.673369	0.288309	0	0	2.75246	0.519417	1.0681	0.712842	1.95776	0	0	0	0.406244	20.8626	0	0.274781	0.135704	0.221786	0.252302	0.0909938	0.662164	0	0.184778	0	0	0.110072	0.0427962	0	0	0	0.128097	0	0.748676	1.96243	0.0461209	0.273305	0	0.55774	1.28181	4.42811	0	2.69001	0.178186	0	0	0	0.0785514	0.479105	0.0650545	0	0.209933	2.29789	0	0	7.03934	0	0.714773	5.57958	3.06926	0.376667	1.02226	0	6.45084	0.888817	1.32352	3.0855	0.67096	0.915703	0	0	0.105566	0.0758273	0	0.415049	0	0.298314	1.10106	0	0	0	2.80385	0	0	0.0315926	0	0.776095	1.13124	0.468047	6.91806	0	0.563669	0	0.732873	0	0	0	0	0	0	0	2.11861	0	0	2.74743	0	0.235606	0	0	0	1.61607	0	0	0
K09018	0.972924	0.165991	0.138046	0	0	0.831864	0	0.280754	0	0.55096	0	0	0	0.159545	0.572275	0	0	0	0	0	0	0.126793	0.130887	0	0	0	0	0	0	0	0	0	0	0.849607	0.369262	0	0.299984	0	0.692098	1.27088	1.7796	0.29645	3.13396	0.804368	0	0.178967	0	0	0.422687	0.0420428	0	0.19991	0.562051	0	0.0890104	0.234794	1.30211	0.71144	0	7.79412	0.128084	0.779423	0	0.431352	0.109502	0.393936	0.461597	0.83814	0	0.439189	0.0985998	0	0.379695	1.23324	0	0	0.184173	1.22151	0	0	0	0	0	11.9311	0.072082	0	1.02103	0.108073	0	0.396234	0.103641	0.612361	0	1.65452	0.265515	0	0	0	0	0	0	0.682922	0.415966	0.106691	0.991526	0	0	0	0	11.8709	0	0	0	0
K09019	6.92522	1.3256	0.852747	0	1.02614	10.8879	0	0.572025	0.177115	4.71577	0	0	0	1.08551	1.30805	0	0.248801	0	0	0	0.677613	0.706187	1.79843	0	0	0	0.906132	0.170797	0.257658	0	0	0.252549	0.712837	1.04413	0.975935	0.0473608	0.925295	0.113297	2.52211	1.96708	2.57212	2.42792	2.77822	0.642794	0	0	1.76182	0	0.159437	0	0	0	1.23041	0.357635	1.0183	7.45033	0	0.366388	0	2.50394	2.56416	3.54553	0	2.33317	2.67572	0.764944	3.3829	0.743268	0	1.5596	1.29562	0	0.316733	0.330234	0	0	0.056737	2.08975	0	0	0	1.52632	0	14.8345	0.380084	0.340112	1.12743	0.989019	1.30777	5.67143	0.297319	0.211522	0	0.992364	0.347836	0	0	0.113642	0	0	0.156037	0.917007	0	0	3.10836	0	0	0	0.670521	22.8786	0	0	0	0
K09020	7.41722	2.38132	1.18646	0	0	15.3338	0	1.47287	0.843028	4.16774	0	0	0.0387391	1.41333	24.9526	0	0.352103	0	0.31788	0	1.34933	0.797227	0.818337	0	0	0	0.826308	0	0	0	0.142941	0.0449474	0	1.21039	2.65031	0	1.44095	0	2.60472	1.05492	3.90366	0.172702	4.61004	0.669042	0	0.130514	2.05452	0	0.17137	0	0	1.07511	1.36517	0.162926	1.33668	6.91761	0.478148	0.934311	0	4.615	2.39484	4.42853	0	6.09279	3.06781	2.1712	2.67315	1.38341	0	0.0961687	0.230309	0	0.464708	1.18065	0	0	0.26057	1.99825	0	0	0	2.99332	0	10.3707	0	0	1.05774	1.71145	0.38747	5.94332	0.240246	1.03133	0	0.801169	0.407007	0	0	0	0	0	0	1.40187	0	0	3.30215	0	0.206059	0	0	22.0563	1.01999	0	0	0
K09021	10.3965	0.992074	1.48971	0	0	14.2473	0	0.317511	0.827544	2.53976	0	0	0.362302	2.57579	38.9713	0	0.231029	0.076595	0.72277	0	1.50743	2.2077	1.72446	0	0	0	1.2594	0.087303	0.3394	0	0	0.242426	0.0581802	0.800568	3.53219	0	1.1309	0	3.61082	1.0985	5.20957	2.80643	3.15869	0	0	0	2.15594	0	0.197398	0.319097	0	0.961854	2.17144	0	1.90407	9.67506	1.08755	0.339598	0	8.59147	1.07125	3.71049	0	5.19989	3.37754	1.24948	3.2792	0.345347	0	1.52976	0.264661	0	0.668117	1.03672	0	0	0.182727	2.41553	0	0	0	3.5362	0	16.0725	0.35912	0.439626	0.492855	3.10099	0.404786	6.85108	0.414122	1.48903	0	2.4025	0	0	0.291095	0	0	0	0.188863	1.39169	0.197405	0.251423	4.74893	0	0.485046	0	0	31.6854	1.87849	0	0	0
K09022	22.4981	5.28357	5.26679	7.03049	0.679204	20.574	5.14655	23.7102	27.621	14.4479	3.44842	18.815	2.97435	17.0153	42.0219	0.203173	23.4619	10.8209	46.339	26.9557	11.6827	34.2212	35.6639	21.169	14.7707	14.8412	17.5699	16.8541	35.7786	15.4456	47.283	5.05572	35.0681	34.1503	11.9988	9.55151	42.6476	18.1685	39.512	46.7789	39.0323	14.8631	28.0675	30.6622	20.2526	8.82826	10.1775	5.46327	7.68047	50.4216	38.3617	28.9604	44.9285	28.1848	16.6406	22.4867	48.6189	26.1856	3.75738	77.8372	35.916	22.5506	0	20.6398	47.0472	19.3718	40.8316	32.2474	11.3713	35.5494	30.8767	24.3373	34.6758	31.268	44.2431	79.2172	34.576	18.4954	63.3935	0.67732	14.1144	21.2337	6.28153	30.8667	33.6861	34.3245	20.215	11.8092	27.1748	42.8395	5.29328	7.61367	55.8969	47.9965	42.0743	28.373	10.0834	5.08578	2.24534	48.0876	57.0363	38.2937	24.5325	24.048	47.8441	42.379	19.4948	15.2774	7.91997	21.832	20.6446	21.1095	7.41471	26.6993
K09023	8.95639	1.38333	1.34013	0	0	13.247	0	0	0.663237	4.04552	0	0	0	1.87184	21.0069	0	0	0.315308	0.0982634	0	0.959848	0.741018	1.73207	0	0	0	1.35218	0	0	0	0.119921	0	0	0.503949	2.30462	0	1.20959	0	3.37471	1.07091	1.54205	1.79472	0.481114	0	0	0	1.92791	0	0.0654958	0	0	0.319035	0.998125	0.443672	0.972464	0.154271	0	0.24886	0	1.04251	2.8497	3.65309	0	4.75834	2.23029	1.56646	1.34399	0	0	1.24805	0.482716	0	0.476683	0.705084	0	0	0.183032	0.921301	0	0	0	2.81185	0	12.973	0.328547	0.200596	0.0582264	1.20219	0.381908	6.6453	0.554049	0.8308	0	0.122197	0	0	0	0	0	0	0	0.427865	0.10143	0	0.307701	0	0.266004	0	0	9.01395	1.38488	0	0	0
K09024	11.2794	2.21324	1.44054	0	0	14.2032	0	0.686377	0.240431	5.16836	0	0	0.199076	2.31722	19.666	0	0	0.152493	0.250732	0	0.715818	0.919481	1.65133	0	0	0	1.59872	0	0	0	0	0.0937561	0	1.36808	0.434339	0	1.72871	0.113419	2.91917	1.3908	3.09772	2.33159	4.34817	0.159339	0	0	1.78712	0	0.201034	0	0	0.814544	1.74666	0.228641	1.29417	9.80981	0.888816	0.187899	0	9.58739	3.35525	5.52993	0	5.93867	4.44411	0.189603	4.80158	0.251866	0	0.641571	0.409222	0	0.684796	1.1757	0	0	0.291146	2.61108	0	0	0.31805	0.185646	0	12.8942	0.247796	0.529203	1.64361	0.741944	0.389333	5.77052	0.379812	0.250707	0	1.29955	0.277623	0	0	0	0	0	0	1.83099	0	0	3.32156	0	0.250756	0	0	19.457	0.134841	0	0	0
K09030	0	0	0	0	0	0	0	0	0	0	0	0	0.144631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148028	0	0	0	0	0	0.343764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0448694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09043	0	0	0	0	0.827243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47435	0	0	0	0	0	0.0809145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.832507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
