Pathway	P10T2	P10T3	P10T4	P11T1	P11T2	P11T3	P12T1	P12T4	P13T1	P13T4	P14T1	P14T4	P15T1	P15T2	P15T3	P16T1	P16T3	P16T4	P17T1	P17T2	P17T4	P18T1	P18T2	P18T3	P18T4	P19T1	P19T4	P1T1	P1T3	P1T4	P20T1	P20T2	P20T4	P21T1	P21T2	P21T4	P22T1	P22T4	P23T2	P23T3	P23T4	P24T1	P24T2	P24T3	P24T4	P25T1	P25T3	P25T4	P26T1	P26T3	P26T4	P27T1	P27T2	P27T3	P27T4	P28T2	P28T3	P28T4	P29T1	P29T2	P29T3	P29T4	P2T2	P2T3	P30T1	P30T2	P30T3	P30T4	P31T1	P31T2	P31T3	P31T4	P32T1	P32T3	P32T4	P33T1	P33T4	P34T1	P34T3	P35T1	P35T3	P36T1	P36T3	P36T4	P37T1	P37T3	P37T4	P38T1	P38T3	P39T1	P39T4	P3T1	P3T3	P3T4	P4T1	P4T3	P4T4	P5T1	P5T2	P5T3	P5T4	P6T1	P6T3	P6T4	P7T1	P7T3	P7T4	P8T1	P8T2	P8T3	P9T1	P9T2	P9T3	P9T4
PWY-5899	117.175	75.8751	47.6497	7.03289	9.12859	147.114	163.148	93.7576	15.6618	77.2077	0	140.195	6.34936	45.8572	189.654	14.3703	14.4172	14.1224	14.3609	49.3674	63.6689	100.642	69.8145	88.8021	64.884	60.4197	44.5649	40.8849	19.1437	2.3407	15.6763	52.1181	95.3822	54.364	88.3965	34.449	33.6604	70.9053	115.465	55.2673	107	61.0853	106.987	31.1599	3.06254	28.4401	73.9378	20.407	25.7361	35.8033	25.9272	25.6959	127.783	88.3064	70.2565	210.016	58.3378	88.067	15.8389	102.091	50.3936	89.8057	1.60996	85.9893	66.5517	85.6951	95.8498	61.8368	219.434	119.591	43.0598	7.28447	32.0426	27.3293	33.0099	0	24.1986	110.803	60.7281	57.742	19.1273	102.541	70.2946	111.716	35.8158	92.6393	53.6261	90.6334	28.3678	113.311	111.27	44.6303	38.0874	113.801	23.1939	25.7067	33.238	29.2488	24.3429	26.1052	14.8329	77.1909	1.63886	0	102.484	52.1406	21.8501	18.3378	141.434	110.37	29.804	64.1356	4.61996	52.6953
PWY-5910	0	0	3.40871	0	357.292	0.84587	13.8501	8.10003	0	3.24829	0	0	0	1.82651	0	0	0	0	0	8.89461	2.2725	0	0	0	0	0	0	0	0	0	0	1.58608	30.0568	2.04715	8.88951	4.37151	8.97233	1.55748	49.7666	3.83508	3.57935	9.36512	0	0	0	2.43491	1.97606	8.1175	1.64787	0	0	2.01025	2.12923	7.41999	9.7078	0	0	0	40.9128	47.7476	4.71448	3.65303	0	0.923598	9.5684	0	1.61167	0	9.6244	0	0	0	0	0	0	0	5.03809	2.78086	12.1812	11.4818	0	0	0	0	7.14428	1.59357	0	1.7664	4.37334	0	6.12191	1.53135	0	0	9.49416	10.2616	3.84376	2.34677	0	0	0	27.3806	0	1.62173	10.1845	6.21173	8.34498	8.23826	443.257	28.9787	3.62965	1.8938	0	0
PWY-5913	103.437	47.9991	34.255	5.02655	2.92811	188.066	4.99757	46.7161	14.624	146.083	11.8189	0	13.0256	123.35	266.262	1.8956	68.9188	79.2609	33.1478	10.992	82.4751	48.0679	152.742	60.5843	41.5706	66.6688	30.9127	14.4758	97.246	58.13	19.3892	14.4131	6.83245	78.4735	143.949	11.9174	62.1923	22.3134	86.0987	66.2016	139.839	81.2151	95.6601	37.9302	45.0722	56.6052	76.3097	154.266	32.0781	126.112	26.9144	67.4743	70.1227	23.1323	36.565	241.141	73.5449	36.5375	82.2799	145.145	63.6197	78.0493	0	170.536	131.817	57.2142	121.883	69.5985	0	59.9202	16.0733	21.4763	38.8434	40.286	154.264	25.6569	32.5124	69.3966	50.0226	54.0945	61.252	55.0193	22.758	124.6	33.4073	52.3273	55.6005	62.6362	52.3025	90.3065	16.4439	62.5389	16.561	53.9213	35.3544	68.27	30.423	2.68046	4.03435	61.907	61.0153	116.236	52.0302	53.11	113.189	18.8314	76.0569	9.89202	4.33011	272.649	34.9291	18.6272	0	19.8186
PWY-5918	75.522	39.1169	28.5857	0	1.22348	124.803	23.2074	26.3206	12.6211	63.54	9.5408	0	5.19355	29.7319	250.625	0	7.59945	5.2303	8.50193	0	27.144	55.2409	36.5572	0	4.65279	0	16.5347	8.98247	4.33533	0	6.9013	12.5439	10.2845	34.263	74.5488	14.0755	31.7616	5.74405	92.9596	25.6467	79.7497	48.9695	76.7625	29.0956	5.54365	13.4733	51.2449	10.3711	15.1506	4.40761	5.8828	19.9885	90.7875	17.0132	45.2175	143.945	24.016	23.3654	0	89.3589	43.4996	57.9596	0	91.0923	48.7526	40.3252	56.249	21.339	7.30621	40.2569	12.8986	2.42849	20.9363	15.6212	7.14143	0	9.40007	35.7105	2.33493	2.86579	5.28774	52.1916	15.4415	62.4733	8.58989	30.2829	33.1038	43.6214	9.62618	76.627	9.24994	25.0728	3.05874	70.4671	18.7136	34.4981	52.2239	0	5.36057	10.4507	2.98229	32.4809	8.10754	2.93101	75.4319	0	8.48025	15.6481	94.9593	164.999	45.2708	0	5.52795	10.6079
PWY-5920	49.0647	25.7139	19.156	0	0.981369	74.3721	0	14.1679	7.43805	31.7906	0	0	3.52159	15.1937	164.265	0	3.32799	2.12641	3.94371	0	16.6822	32.3329	20.9921	0	2.05478	0	10.3585	4.97177	1.84711	0	1.89528	5.60105	3.39566	20.806	44.9548	2.97716	10.1685	1.77501	53.7781	16.3901	54.8268	19.1972	56.5612	15.3455	0	1.71104	26.3102	0	2.73509	2.00888	0	11.4023	44.8898	9.65022	21.5766	115.37	14.2389	14.1783	0	59.6743	29.0508	30.187	0	50.6994	28.7651	24.3203	27.705	12.4499	0	17.3366	7.55496	0	11.4839	2.42128	0	0	2.83716	17.0123	1.17881	0	1.73055	32.2171	0	20.0507	3.46268	9.13292	17.2346	28.8433	5.19024	40.9027	4.1918	11.4266	0	38.2514	0	0	10.7176	0	0	0	1.39914	18.3016	2.12199	0	50.2082	0	0	2.45162	0	109.79	16.8788	0	0	0
PWY-5941	262.136	409.113	395.995	750.533	18.9971	415.111	216.938	539.751	378.385	1251.01	321.701	206.073	300.888	789.732	535.646	174.999	664.653	982.986	830.612	478.448	449.388	320.651	610.316	522.307	610.844	755.239	498.588	414.683	768.513	1189.9	901.925	195.043	498.901	815.372	775.316	241.606	864.014	371.897	406.345	822.953	643.366	673.647	539.123	762.963	716.883	443.821	671.882	924.215	840.882	725.207	505.532	696.633	490.996	293.783	420.133	446.584	736.435	420.174	544.083	743.232	672.905	383.539	15.1384	941.863	607.58	434.751	609.461	498.457	182.32	474.257	376.753	474.126	420.415	375.696	650.147	272.753	381.686	431.494	622.37	597.174	400.073	401.163	304.497	438.946	969.731	664.272	539.062	394.208	617.912	420.414	546.801	532.194	683.515	765.826	675.803	572.738	455.861	196.443	342.286	714.14	722.457	532.336	514.33	469.573	545.666	581.472	859.285	906.96	304.361	596.601	889.441	776.534	574.387	540.729
PWY-5971	247.54	185.047	149.619	0	543.573	295.141	103.69	113.2	48.1994	67.7503	0	12.7677	13.2251	238.364	295.145	0	152.513	92.9932	94.0732	16.4672	156.348	139.806	147.728	109.026	119.246	72.0956	136.752	67.4761	114.271	30.5548	177.34	58.3169	108.031	118.542	164.366	25.4292	89.2566	61.4806	177.444	155.126	182.996	148.937	174.324	74.9871	74.3892	245.012	165.778	55.1135	79.9762	67.8058	62.2082	58.7718	250.215	116.292	99.8901	317.876	0	224.084	108.464	140.624	132.455	228.841	5.67986	172.697	179.826	184.593	178.597	116.23	69.1973	140.834	137.611	114.638	153.983	46.1693	18.9023	0	121.989	189.616	70.1246	142.171	53.5625	200.447	134.215	112.66	147.106	138.1	184.008	169.523	155.668	239.425	195.253	124.976	132.586	111.725	162.337	0	126.185	0	0	103.02	111.792	132.188	52.7223	53.41	152.75	0	99.3837	58.7871	3.61209	176.74	61.8072	0	127.144	40.3128
PWY-5972	0	5.65677	5.61199	0	6.41817	0.8884	0	0.853354	0	0	0	0	1.12301	2.48429	36.7803	0	1.71616	0	0	0	4.29078	3.79599	8.45071	0	0	0	6.02786	0	0	0	0.642092	0	0	0	0.624395	0	0.692254	0	4.60347	0	6.8091	5.1563	2.0375	4.32051	0	0	0.566567	0	0.779269	0	0	0	0	0	3.188	6.72145	0	4.279	0	3.28921	5.36472	8.4305	0	3.15237	9.02937	9.18464	17.6624	6.50297	0.366169	0.714544	0	0	6.67628	1.39504	0	0	0	5.0018	0	0	0.743611	12.3347	0	1.60492	0.466293	0.637423	7.40969	10.3898	4.23308	3.45038	0	3.93115	1.15658	1.51745	0	0.851646	0	0	0	0	0	9.0917	0.942213	1.07871	8.46058	0	1.56021	5.14174	0	0	0	0	0	0
PWY-5973	276.553	311.942	307.897	139.587	1163.14	256.932	362.738	298.645	234.605	49.2324	350.843	536.405	25.1451	291.633	242.363	408.521	229.842	82.741	147.759	286.174	297.975	215.896	186.408	264.757	237.816	84.3614	243.946	336.286	186.462	23.8215	265.933	184.636	301.142	111.296	152.991	151.079	83.858	256.799	282.093	153.407	174.005	179.786	207.809	130.845	166.635	394.052	167.463	90.4253	101.977	145.199	215.008	123.144	304.072	421.392	284.958	324.083	190.463	380.12	197.7	131.906	206.38	316.513	16.7313	147.518	233.64	272.655	240.591	248.511	394.253	223.531	297.245	282.287	326.103	333.792	259.112	435.109	226.706	357.536	312.658	224.141	548.199	285.9	400.718	317.265	142.757	306.888	304.152	292.541	240.883	323.502	277.932	258.365	351.139	279.979	223.584	202.641	318.742	305.631	366.951	158.955	186.335	245.478	337.46	350.735	209.957	277.944	204.505	204.76	627.716	287.316	103.129	344.737	451.895	334.423
PWY-5981	40.5145	9.21742	12.0238	30.063	396.732	57.2394	82.9919	13.2487	3.20498	16.765	0	253.763	367.857	14.3959	61.0265	23.2382	25.0343	15.641	19.1325	19.9111	9.07056	9.62942	32.651	0	0	1.16944	1.35619	0.237796	10.0686	13.0297	2.64718	2.75215	100.051	9.38539	171.61	18.5442	52.4011	3.32735	141.057	112.043	41.9542	52.5774	38.1158	41.8137	3.90377	0	11.0619	42.7041	10.3712	0.843725	20.0306	34.0631	14.7956	54.6593	20.9482	26.345	8.06874	4.88699	96.7739	143.556	98.7934	39.4444	10.5483	19.0543	15.4562	7.03883	42.8381	34.7598	120.056	3.59758	12.2229	49.4417	6.54564	13.6549	9.27697	25.8806	4.61722	12.8555	33.0495	39.2061	367.99	14.6141	2.6415	68.8057	25.1561	6.97019	36.1321	7.67902	14.5455	19.22	12.0808	17.9031	11.2888	43.0751	51.7558	183.516	9.91673	10.7793	2.21896	39.2883	0	58.9358	6.59226	3.54477	54.3393	11.9741	24.7785	32.1105	710.266	184.756	9.93137	8.63049	2.8083	4.04603
PWY-5989	249.712	150.907	161.356	0	474.952	252.569	73.0642	96.0394	37.3829	57.8552	42.5499	20.5064	10.2272	201.775	250.589	71.4098	182.492	95.6116	85.5014	11.6371	123.78	115.594	138.173	87.843	108.214	65.7501	137.783	58.8423	111.853	28.1566	244.065	48.7896	78.3594	107.42	166.189	47.1722	79.2809	43.1364	156.848	157.195	177.297	141.149	154.013	58.2945	75.604	321.922	138.901	56.7845	89.7732	53.7118	133.867	49.8115	262.894	153.171	80.6575	307.545	126.934	236.996	83.928	120.043	139.314	222.628	2.94185	162.587	167.229	183.358	169.728	110.103	45.5224	117.807	122.201	100.03	139.96	31.01	29.6572	99.349	103.784	233.978	50.5915	122.518	129.981	200.065	157.123	279.071	136.559	106.069	174.847	167.138	152.956	212.717	177.763	102.385	103.822	98.9927	136.849	37.7167	137.252	75.1305	72.6574	86.979	90.8334	120.082	66.166	38.4044	135.473	11.9628	77.5122	38.8093	2.96644	232.182	56.6082	189.592	121.23	35.8583
PWY-5994	0	6.83051	4.14888	0	1.55497	0	75.4673	6.98638	0	0	0	0	0	60.1047	0	0	50.9764	68.2395	17.0989	12.2608	14.3774	13.758	26.319	13.6835	34.3277	6.94026	0	0	4.26082	1.24587	40.7056	0	0	24.0554	31.2919	5.12518	8.46134	0	0	4.1132	6.80576	2.91724	3.88224	0	10.9121	5.79928	9.41845	3.65854	6.12504	19.9725	6.33895	0	9.67703	6.80295	0	5.52538	0	14.6972	0	0	0	9.99347	0	1.43345	4.95627	12.371	17.4667	3.02449	74.8726	8.51614	1.81119	4.83484	16.081	0	8.54526	0	13.8636	6.21823	12.7568	32.3886	0	9.55591	0	5.21548	21.465	11.064	8.87054	71.8853	30.8148	8.99587	20.7934	16.3085	9.26012	0	10.3501	0	18.4056	0	0	19.7716	20.1382	10.6107	5.92253	3.23352	17.9483	0	16.9674	0	0	0	0	0	21.7352	5.25087
PWY-6071	0	0	0	0	0	0	0	0.585023	0	1.57334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97159	0	0	0	0	0	1.23614	5.66698	0	8.52228	1.83542	0	0	0	0	0	0	0	0	3.32465	0	0	0	0	0	0	8.43798	0	1.30262	0	0	0	3.63466	0	1.96168	0	0	0	0	0	0	0	0	0.520038	1.38575	0	0	0	5.31804	0	0	0	0	1.45166	0	0	0	0	0	0	0.823143	0	0	0	0	0	0	0	0.529564	0	0	6.63539	0	0	0	0	0	0	0	0	0
PWY-6113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.5822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.98682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5287	20.094	0	0	0	0	0	0	15.7689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6121	314.704	454.822	451.787	646.646	439.601	393.388	389.529	456.73	200.26	743.41	457.918	752.716	482.628	493.739	426.213	365.073	520.32	700.161	563.916	452.811	414.036	261.461	529.55	468.003	471.61	591.444	544.92	386.903	561.039	790.599	511.156	261.688	400.057	563.1	676.506	228.59	592.897	322.852	499.074	566.685	510.292	487.663	415.919	568.843	625.255	568.671	562.167	564.492	583.55	561.617	486.137	482.585	402.77	447.657	431.647	411.563	595.915	505.513	520.518	560.8	590.086	394.164	589.495	616.97	586.014	482.103	493.651	488.621	429.573	393.017	370.234	478.601	428.595	452.526	632.508	535.796	391.092	496.306	608.61	442.287	677.842	403.18	449.011	374.28	559.906	522.495	530.912	363.111	428.989	453.862	508.549	408.178	584.211	547.888	506.775	448.982	428.269	339.609	428.083	559.435	532.112	511.726	498.53	473.742	393.496	468.113	602.428	648.839	697.461	429.984	574.313	479.754	610.277	465.513
PWY-6122	321.836	465.861	459.791	662.159	449.116	444.633	398.491	464.006	436.473	767.848	471.648	730.996	467.775	525.831	472.787	370.96	538.594	721.294	591.855	443.617	424.574	269.951	534.704	489.235	484.44	601.229	538.492	444.426	599.364	799.095	632.006	457.196	407.646	603.994	684.183	537.882	602.987	449.025	496.162	605.776	536.607	514.295	455.029	584.648	659.211	588.272	573.69	639.033	601.036	574.726	485.398	534.291	407.649	435.342	459.972	427.05	589.837	534.383	556.827	595.62	601.601	439.235	601.466	636.402	589.19	475.742	522.723	508.253	454.59	425.675	439.228	513.538	450.095	524.943	654.277	543.147	478.027	524.033	617.576	455.317	679.278	410.501	454.859	381.209	625.076	551.661	570.183	387.465	447.207	454.164	575.077	470.266	605.733	554.982	532.515	447.814	443.357	351.155	445.878	579.453	532.233	562.338	497.55	470.678	398.39	453.642	622.486	675.627	732.846	468.406	579.115	523.573	637.014	462.613
PWY-6123	256.612	356.267	325.062	592.212	427.953	280.407	365.855	345.082	160.053	654.172	408.445	771.794	444.967	264.73	239.263	413.568	429.376	554.681	396.485	394.524	365.374	245.801	437.433	395.303	420.809	325.745	356.968	268.259	427.388	640.868	460.977	217.666	319.357	444.355	535.834	165.661	430.662	254.399	389.546	487.385	399.7	374.258	291.564	358.822	389.371	524.103	313.984	503.239	513.937	431.948	348.594	445.531	337.832	397.527	342.505	321.948	437.587	441.077	474.985	467.929	381.238	345.315	449.558	519.62	476.077	349.87	365.559	351.193	407.176	333.104	297.826	416.85	359.788	371.024	527.184	474.793	293.073	408.236	476.995	409.602	670.976	298.122	407.204	307.032	462.878	449.791	449.251	325.796	388.837	415.481	496.844	329.277	432.59	388.17	429.52	409.027	382.229	295.683	398.151	446.273	445.313	436.469	435.475	412.25	338.304	389.059	498.622	495.849	645.986	297.128	279.444	376.735	561.266	401.055
PWY-6124	250.755	342.024	306.639	576.688	374.862	268.953	364.001	328.018	141.13	600.558	399.751	755.126	429.207	282.488	190.045	406.491	417.553	538.414	376.47	376.301	355.386	237.948	411.496	374.049	399.234	297.783	332.084	247.693	400.667	563.935	471.641	196.074	298.138	423.32	532.865	144.652	406.054	233.344	373.562	465.632	378.437	354.698	277.525	337.231	363.782	509.961	292.457	481.854	418.835	410.045	328.136	421.862	324.211	384.404	326.848	311.454	415.016	423.028	465.16	451.529	356.858	334.773	224.833	492.995	461.01	335.669	345.892	330.599	405.348	314.262	279.202	397.774	344.402	349.609	509.359	459.998	269.75	393.377	457.456	399.055	666.158	284.76	395.067	293.791	440.287	432.369	437.721	320.739	380.377	411.931	476.937	307.61	408.94	364.211	413.473	396.003	375.839	295.8	388.645	425.077	426.976	419.242	411.889	387.288	329.674	369.673	479.709	497.422	638.842	263.899	252.859	368.681	561.71	381.823
PWY-6125	193.649	164.476	207.962	64.6285	587.899	158.702	325.941	228.271	20.0952	67.7437	210.974	139.116	446.018	123.911	153.42	403.253	170.02	176.907	149.172	331.698	252.053	160.271	323.818	299.408	256.031	95.0813	141.346	173.581	154.351	94.1353	133.133	173.805	200.655	98.2981	100.634	75.5719	141.064	154.346	305.597	195.288	193.317	104.118	148.391	118.602	183.616	115.746	118.555	162.979	70.1685	158.278	176.854	189.367	190.148	432.303	151.453	309.877	174.244	368.296	229.951	312.968	227.013	296.124	749.715	106.162	416.75	246.214	236.609	251.971	326.901	167.452	195.061	251.205	219.92	220.085	254.289	296.48	165.693	330.93	268.427	197.568	155.236	194.858	232.344	166.089	127.086	248.453	270.937	238.374	223.655	291.125	254.842	143.07	254.539	192.463	283.146	200.676	91.0999	341.727	267.899	130.763	125.37	156.72	211.72	205.366	226.466	275.782	164.651	113.465	74.1955	218.275	101.221	164.484	485.117	205.987
PWY-6126	232.085	213.094	255.063	92.5507	575.954	198.651	355.697	282.918	28.7844	99.1177	273.097	194.346	483.106	158.439	201.11	413.873	225.146	236.912	204.861	392.891	313.324	199.023	396.044	359.856	320.837	131.692	191.145	216.254	199.001	133.648	182.885	200.058	250.709	137.185	141.803	99.9769	191.624	191.782	376.578	250.446	249.446	143.039	195.701	160.828	245.127	161.851	166.91	221.704	99.3969	214.902	236.935	251.675	247.745	472.981	198.921	364.284	236.874	430.286	295.243	386.769	300.458	340.714	597.953	150.551	488.317	302.388	297.667	318.28	363.83	210.227	239.112	311.833	275.861	266.968	335.36	369.383	204.547	392.846	347.663	248.414	215.456	247.172	284.353	213.614	175.504	315.058	346.645	281.856	282.781	361.729	318.855	186.25	320.143	258.972	333.884	260.051	127.537	363.176	328.384	180.242	173.106	213.277	285.511	278.511	285.153	341.779	226.438	158.128	108.337	271.078	141	216.962	566.587	262.407
PWY-6138	0	0	0	0	0	4.1594	0	3.92824	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16329	0	1.34513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79956	0	0	0	0	0	4.10585	0	0	0	0	1.39702	0	0	0	0	1.08676	0	0	0	0	0	0	0	4.22019	0	0	0	0	0	0	0	0	1.17455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.30845	0	0	0	0	0	0	0	0	2.70448	0	0	0	0	0	0	0	0	1.92508	0	0	0	0	0	0	0
PWY-6143	0	0	0	0	0	15.241	0	1.15087	0	0	0	0	0	0	0	46.0703	13.5323	0	0	0	2.70781	2.27331	0	2.32539	0	0.915856	3.31097	0	0	0	0	0.899014	0	0	0	0	0	1.376	0	0	0	0	0	0	0	0	0	0	0	5.33066	2.88025	0.790092	0	24.0428	77.3695	0	0	0	0	0	0	0	0	0	0	0	0	1.45496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.3236	14.4529	0	0	0	12.7434	21.8915	0	0	0	0	0	1.7652	9.35524	36.9914	4.20646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.2009
PWY-6147	215.039	258.662	214.752	32.7455	656.033	180.534	223.611	191.074	373.982	40.7269	170.233	153.019	360.999	80.6974	103.068	384.092	139.595	3.86206	87.9142	233.548	191.003	126.367	160.459	226.447	169.572	31.2669	150.604	275.993	258.404	41.188	16.733	366.05	179.417	18.3157	73.1646	414.642	34.7244	304.469	233.165	17.9358	158.097	170.869	198.751	88.3828	152.789	173.377	16.0053	41.3722	29.5126	99.3896	148.521	99.9027	207.055	351.401	265.842	271.213	91.5985	286.713	202.628	102.188	108.591	190.004	8.14566	62.5521	261.442	182.041	190.239	175.773	217.198	190.845	290.633	214.065	198.568	237.198	116.142	311.727	345.167	240.443	183.264	106.84	90.7142	178.844	231.866	164.851	25.5024	166.195	151.399	227.672	162.662	143.255	204.317	236.061	237.543	164.662	137.31	105.515	217.81	100.913	210.954	103.493	96.9855	204.184	214.507	201.744	180.466	223.798	98.0255	47.4994	527.516	167.989	39.7364	75.9485	406.94	220.471
PWY-6151	219.43	429.219	410.178	665.537	477.353	358.816	306.646	421.401	426.546	930.795	381.214	326.088	535.751	616.159	295.077	225.646	554.228	763.178	588.427	471.261	365.825	260.518	534.319	506.605	509.341	527.987	468.061	408.571	613.109	947.077	627.698	362.724	428.372	598.791	694.313	415.759	631.122	348.784	425.646	583.644	436.543	511.876	431.727	521.954	566.317	320.393	515.129	590.403	704.368	627.482	489.625	510.496	382.359	395.903	426.577	280.336	535.015	412.804	534.165	541.647	472.826	333.956	741.517	760.791	521.694	399.173	508.097	461.33	362.418	393.687	347.91	408.851	362.514	413.513	484.684	423.728	422.462	423.822	518.392	505.818	346.437	376.203	287.677	304.556	653.135	501.429	458.067	326.126	467.159	348.857	489.122	501.606	536.949	493.192	542.13	447.828	509.95	315.382	317.38	545.174	571.579	514.613	475.161	472.297	382.153	481.697	685.995	396.774	831.559	415.878	600.352	556.384	569.376	474.35
PWY-6160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06432	0	0	0	0	0.940215	0	0	0	0	0	0	0
PWY-6163	296.212	513.54	474.962	856.545	351.891	359.888	313.767	494.901	393.006	798.696	516.75	734.072	413.866	528.876	405.053	397.996	577.299	744.335	626.476	555.451	443.36	296.68	555.923	510.287	562.11	674.374	655.09	446.929	551.06	783.607	688.014	310.773	423.152	657.364	571.826	354.544	661.597	375.37	493.989	570.147	475.395	510.81	435.882	597.363	652.441	655.112	560.715	727.95	655.403	710.534	515.194	671.475	459.744	456.009	451.224	403.231	729.207	525.667	554.15	522.028	603.903	411.1	465.157	685.869	547.522	461.852	529.712	507.939	283.392	430.544	415.257	468.922	489.508	479.071	640.744	562.644	375.025	542.124	683.433	489.915	794.196	441.184	436.272	434.299	716.5	583.932	610.3	406.313	517.648	491.237	604.602	446.723	619.67	624.167	559.736	500.943	554.089	340.073	475.326	656.607	665.632	540.207	606.81	587.843	442.454	597.093	674.86	846.729	191.288	428.764	658.87	622.247	500.275	515.179
PWY-6165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.40805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82886	0	0	0	0	2.50136	0	0	0	0	0	0	0
PWY-6167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.25037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.20177	0	0	0	0	2.63605	0	0	0	0	0	0	0
PWY-6168	172.623	103.647	111.319	18.6119	5.47513	182.992	166.585	149.043	35.7682	104.375	25.8205	0	10.1644	87.49	205.052	88.1009	9.0319	14.0343	41.5879	100.055	142.592	90.1844	102.265	72.97	71.342	13.0231	88.0532	39.3879	0	0	4.4525	56.0345	61.2723	61.6119	103.202	19.5521	88.1482	53.5755	153.328	58.793	164.023	108.966	169.86	50.5767	66.2582	36.6867	100.199	19.4579	37.984	21.3456	24.2762	33.8172	102.806	19.9923	87.0114	203.395	0	129.546	0	90.0718	166.42	178.717	5.92219	144.708	153.638	139.382	133.345	93.815	70.8305	121.047	119.083	108.726	32.888	53.7182	64.2608	0	36.2343	82.2188	94.2691	0	42.3484	171.741	0	24.8362	26.4336	119.397	178.2	101.466	124.821	240.049	62.9495	62.4787	65.0919	97.2368	12.9512	0	0	67.8417	0	21.7196	0	122.243	77.9533	43.4138	177.832	111.439	57.6162	0	0	0	100.927	0	0	0
PWY-6174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01161	0	0	0	0	1.61838	0	0	0	0	0	0	0
PWY-6182	0	0	0	0	0	0.49956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0322	1.74174	0	0.685919	0	0	0	0	0	0	0	0	0	0	0.925415	0	0	0	0	0	0	19.3114	0	0	0	0	0	0	0	0	0	0	0	0	0.903367	4.14963	0	0	0	3.27008	0	0	0	0	0	39.9263	0	0	0	0	0	0	0	0	0	0	0	0	1.14797	0	0	0	0	0	0	0.521961	0	0	0	0	0	79.2894	0	0	0	0
PWY-6185	0	0	0	0	0	0.479952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.69806	1.79502	0	0.664875	0	0	0	0	0	0	0	0	0	0	1.86054	0	0	0	0	0	0	19.1092	0	0	0	0	0	0	0	0	0	0	0	0	0.79162	3.72323	0	0	0	3.12483	0	0	0	0	0	49.6799	0	0	0	0	0	0	0	0.57154	0	5.37104	0	0	1.03792	0	0	0	0	0	0.295162	1.15851	0	0	0	0	0	84.3667	0	0	0	0
PWY-6210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115291	0.0679111	0	0	0	0	0	0.326175	0	0	0	0	0	0	0.234946	0	0	0	0	0	0	1.55675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22749	0	0	0	0.772707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
